"name","home","age","nettime"
"John K Korir","Kenya","29","46:54"
"Andrew Letherby","Australia","31","47:52"
"Kazuo Ietani","Japan","27","48:19"
"Araya Haregot","Ethiopia","23","48:53"
"Midaugas Pukstas","Lithuania","26","49:21"
"Wilson Komen","Kenya","27","49:22"
"William Naranjo","Colombia","26","49:58"
"Charles Kibiwot","Kenya","30","50:26"
"Reuben Cheruiyot","Kenya","31","50:28"
"Alexey Khokhlov","Russia","32","50:37"
"Michinori Takano","Japan","23","51:25"
"Kefah Keraro","Kenya","35","51:30"

